parcelle,id,disposition,date,nature,codecommune,departement,type,surface,piece,prix,latitude,longitude,surface_calc
35037000ZP0053,2024-196533,1,2024-03-13,Vente,35037,35,Maison,120,4,961000,48.0463960,-1.8374430,120
35069000AC0072,2024-196534,1,2024-03-29,Vente,35069,35,Appartement,63,3,645000,48.0485060,-1.4999700,63
35139000AB0149,2024-196535,1,2024-03-12,Vente,35139,35,Maison,116,3,5e+05,47.9805030,-1.7203640,116
35090000ZD0162,2024-196536,1,2024-03-19,Vente,35090,35,Maison,59,2,235000,47.9220420,-1.6433680,59
351950000D0081,2024-196538,1,2024-03-18,Vente,35195,35,Maison,58,3,180300,48.3018200,-1.6549340,58
35288000BV0737,2024-196540,1,2024-03-26,Vente,35288,35,Appartement,27,1,115000,48.6345040,-2.0035890,27
35284000AI0659,2024-196541,1,2024-03-29,Vente,35284,35,Maison,68,4,330000,48.5990800,-1.9769700,68
35363000AL0173,2024-196545,1,2024-03-04,Vente,35363,35,Maison,161,7,380600,48.0203450,-1.7089520,161
35068298AN0054,2024-196548,1,2024-03-04,Vente,35068,35,Maison,93,5,202000,48.1128620,-1.3836560,93
35238000AE0169,2024-196549,1,2024-03-29,Vente,35238,35,Appartement,83,3,690000,48.1097470,-1.6867860,83
35363000AD0702,2024-196550,1,2024-03-18,Vente,35363,35,Maison,126,5,325000,48.0064640,-1.7032650,126
35238000DK0044,2024-196551,1,2024-03-18,Vente,35238,35,Appartement,13,1,71700,48.1082560,-1.6879660,13
35051000BE0516,2024-196553,1,2024-03-29,Vente,35051,35,Appartement,45,2,173000,48.1164370,-1.5873450,45
35238000AK0379,2024-196558,1,2024-03-15,Vente,35238,35,Appartement,62,3,205000,48.1095370,-1.7090670,62
35238000BS0178,2024-196564,1,2024-03-19,Vente,35238,35,Appartement,69,3,280000,48.1083870,-1.6789500,69
35238000CY0481,2024-196568,1,2024-03-20,Vente,35238,35,Maison,96,4,380000,48.0907500,-1.6882390,96
35068000AD0194,2024-196569,1,2024-03-13,Vente,35068,35,Maison,85,4,261180,48.1046520,-1.4056320,85
35179000ZD0067,2024-196572,1,2024-03-28,Vente,35179,35,Maison,129,5,80000,48.5419920,-1.8751310,129
35024000AR0304,2024-196577,1,2024-03-20,Vente,35024,35,Maison,99,5,378650.22,48.1807590,-1.6281460,99
352830000A1208,2024-196579,1,2024-03-20,Vente,35283,35,Maison,70,3,166000,48.1160260,-1.3594850,70
353290000D0214,2024-196580,1,2024-03-27,Vente,35329,35,Maison,86,4,58000,48.5106550,-1.5239290,86
352460000J0060,2024-196581,1,2024-03-20,Vente,35246,35,Maison,76,3,207000,48.5425380,-1.8008830,76
35292000ZK0033,2024-196582,1,2024-03-15,Vente,35292,35,Maison,120,4,210000,48.3826210,-1.3907440,120
35353000AP0843,2024-196584,1,2024-03-19,Vente,35353,35,Appartement,64,3,212400,48.1157820,-1.7476520,64
351160000K0150,2024-196585,1,2024-03-20,Vente,35116,35,Maison,48,1,120350,48.5886710,-1.8503170,48
35051000AB0212,2024-196586,1,2024-03-29,Vente,35051,35,Maison,107,6,460000,48.1202970,-1.6062220,107
35238000CS0398,2024-196587,1,2024-03-12,Vente,35238,35,Appartement,68,4,190450,48.0962540,-1.6564790,68
351610000B0851,2024-196588,1,2024-03-13,Vente,35161,35,Appartement,57,2,290000,48.0484850,-1.3315360,57
35238000IY0571,2024-196589,1,2024-03-29,Vente,35238,35,Appartement,19,1,1e+05,48.1234610,-1.6393130,19
35069000AE0098,2024-196590,1,2024-03-26,Vente,35069,35,Maison,113,6,320000,48.0450600,-1.5071310,113
352880000B0513,2024-196591,1,2024-03-27,Vente,35288,35,Maison,122,4,7e+05,48.6591500,-1.9903760,122
35288000BP0780,2024-196592,1,2024-03-13,Vente,35288,35,Appartement,106,4,320000,48.6354850,-2.0144760,106
35238000CV0319,2024-196594,1,2024-03-29,Vente,35238,35,Maison,68,4,390000,48.0889250,-1.6709970,68
35256000AO0043,2024-196595,1,2024-03-29,Vente,35256,35,Maison,74,3,6e+05,48.6183460,-2.1208790,74
353590000B0684,2024-196596,1,2024-03-15,Vente,35359,35,Maison,220,9,265000,47.9560830,-1.3005500,220
35228000AD0159,2024-196602,1,2024-03-29,Vente,35228,35,Maison,88,5,260000,48.5752100,-2.0538280,88
35059000AD0023,2024-196607,1,2024-03-28,Vente,35059,35,Maison,108,5,298000,48.1815500,-1.7297060,108
35173000AN0163,2024-196613,1,2024-03-14,Vente,35173,35,Maison,120,5,380000,48.2155140,-1.6940440,120
35238000CW0232,2024-196615,1,2024-03-13,Vente,35238,35,Appartement,76,4,158000,48.0872340,-1.6809080,76
353620000A1051,2024-196618,2,2024-02-27,Vente,35362,35,Maison,63,3,131840,48.5003050,-1.8740350,63
35238000MO0140,2024-196619,1,2024-03-26,Vente,35238,35,Appartement,40,2,125000,48.1323510,-1.7006910,40
350930000L0303,2024-196622,1,2024-04-03,Vente,35093,35,Appartement,61,2,292000,48.6297410,-2.0591480,61
35093000AK0205,2024-196624,1,2024-03-28,Vente,35093,35,Appartement,29,1,155000,48.6159710,-2.0533760,29
35115000AI0150,2024-196626,1,2024-03-16,Vente,35115,35,Maison,120,5,275000,48.3557010,-1.1967360,120
